id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
1,0.27681115831201974,9,27,0.04879974822340218,1,3,93
2,0.001517402188915027,0,5,-0.026899131978768375,-1,1,79
3,-0.376418556353164,-4,7,0.36552754969314954,2,4,40
4,-0.1606839701281423,-2,17,0.173146598498088,4,3,73
5,0.20712486716741757,2,4,0.053974949617179475,1,2,37
6,-0.0768888961781512,-3,20,0.04350505138997535,2,2,129
7,-0.09474730202927115,-1,6,-0.05619950242688133,-1,1,51
8,-0.1630934542493989,-1,2,0,0,0,17
9,-0.03923615316671819,0,3,0,0,0,28
10,0.08285221709048907,3,13,0.047937857624367884,1,4,102
11,-0.3878864040668395,-5,6,-0.21164776774932587,-3,3,49
12,0.5026339988467364,3,3,0,0,0,24
13,0.053425753452668714,2,25,0.048659780148734656,2,7,143
14,0.35339052923516634,4,11,-0.06587284739489171,-1,2,53
15,-0.2255241645262256,-2,6,-0.10773782004513374,0,2,29
16,0.06288157603387484,1,14,-0.0396386894976156,-3,1,99
17,0.07331214119611387,4,27,-0.038741784849113184,-2,2,215
18,-0.015810384379124017,1,13,0.001541506798272585,0,2,81
19,0.043100819114970906,3,31,-0.016162735347508582,0,4,124
20,-0.02939314320435598,-1,5,-0.054172875646741316,-2,1,49
21,-0.3234439164237838,-3,6,-0.04392395322708755,-1,1,34
22,-0.11756876285817389,0,3,-0.25375869076169133,-3,1,29
23,-0.01431865233514633,2,28,-0.04848607795911933,-1,5,140
24,0.035483111855422286,0,7,0.06396861242637894,1,2,67
25,0,0,2,0.10830424696249145,1,1,31
26,-0.05222725419502709,-2,11,8.167481833940005e-4,1,3,100
27,-0.010177515936121512,1,10,-0.10958379881422832,-2,3,55
28,-0.10506548862979864,-3,14,0.005415601056418817,0,3,111
29,0,0,0,0,0,0,77
30,0.2059445032642659,1,1,0,0,0,12
31,0.017481027651520722,1,35,0.005464054839193011,1,11,197
32,0.033509069295642305,1,9,-0.2644754831957951,-2,2,35
33,0.032469658530623544,1,14,-0.11861397389681176,-2,2,70
34,0.10698694104579169,9,39,-0.030356768092154034,-4,18,267
35,0.12444982420447002,10,19,0.10173876948095306,7,5,171
36,-0.1800839418150862,-1,22,-0.04132485581527135,-1,1,88
37,0.0483849474270691,3,14,-0.03658698427716664,0,2,67
38,0.04984049686268087,4,30,0.044933619169241996,4,6,256
39,-0.10595178501888253,-5,26,-0.15306944731999955,-8,8,139
40,-0.2562819830478072,-2,13,-0.17513334166495753,-2,3,47
41,-0.11235965729933028,0,8,0,0,1,36
42,0.21701784348854625,3,6,0.16215320522275556,1,3,52
43,-0.19112054233692297,-1,1,0,0,0,20
44,0.05055910448873434,4,18,-0.04888407623554044,-1,2,96
45,0.08056974310473346,1,4,0,0,0,40
46,0.12313857283501052,2,4,-0.071731018610049,-1,2,31
47,-0.5639082016926473,-1,1,-0.5639082016926473,-1,1,9
48,-0.1841342977993094,-1,4,-0.16853948594899543,-1,1,24
49,0.04811540250469602,1,7,-0.04167144280518562,-1,1,30
50,0.0128983037254146,1,8,0.06312002423120186,2,2,96
51,-0.4238107145722454,-7,13,-0.0757488629139377,-1,1,57
